epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,44.966,0.33242,0.85148,0.84321,1,0.86044,0.995,0.94504,0.35037,1.88324,0.86101,0.000408,0.000408,0.000408
62,45.5119,0.34809,0.75538,0.81323,1,0.86044,0.995,0.94504,0.35037,1.88324,0.86101,0.00040138,0.00040138,0.00040138
63,46.1288,0.31049,0.75791,0.81986,1,0.83807,0.995,0.995,0.29459,1.96672,0.83525,0.00039432,0.00039432,0.00039432
64,46.7197,0.36051,0.82091,0.89647,1,0.83807,0.995,0.995,0.29459,1.96672,0.83525,0.00038682,0.00038682,0.00038682
65,47.3696,0.32576,0.91805,0.86673,1,0.83807,0.995,0.995,0.29459,1.96672,0.83525,0.00037888,0.00037888,0.00037888
66,47.9992,0.34549,0.92317,0.74799,1,0.85915,0.995,0.995,0.2477,1.91227,0.82294,0.0003705,0.0003705,0.0003705
67,48.6038,0.45704,1.00744,0.87871,1,0.85915,0.995,0.995,0.2477,1.91227,0.82294,0.00036168,0.00036168,0.00036168
68,49.1798,0.43,0.85316,0.85672,1,0.85915,0.995,0.995,0.2477,1.91227,0.82294,0.00035242,0.00035242,0.00035242
69,49.7842,0.33739,0.83763,0.79879,1,0.99168,0.995,0.995,0.24321,1.71717,0.81838,0.00034272,0.00034272,0.00034272
70,50.3264,0.36513,0.78246,0.81037,1,0.99168,0.995,0.995,0.24321,1.71717,0.81838,0.00033258,0.00033258,0.00033258
71,50.9698,0.43858,0.83493,0.84916,1,0.99168,0.995,0.995,0.24321,1.71717,0.81838,0.000322,0.000322,0.000322
72,51.9656,0.25439,0.80982,0.81436,0.97298,1,0.995,0.995,0.24031,1.47074,0.81585,0.00031098,0.00031098,0.00031098
73,52.8287,0.33975,0.74939,0.80707,0.97298,1,0.995,0.995,0.24031,1.47074,0.81585,0.00029952,0.00029952,0.00029952
74,53.7827,0.35442,0.81446,0.84546,0.97298,1,0.995,0.995,0.24031,1.47074,0.81585,0.00028762,0.00028762,0.00028762
75,54.4017,0.31172,0.77652,0.82457,0.97406,1,0.995,0.995,0.2212,1.32718,0.81373,0.00027528,0.00027528,0.00027528
76,54.9896,0.29619,0.70472,0.80761,0.97406,1,0.995,0.995,0.2212,1.32718,0.81373,0.0002625,0.0002625,0.0002625
77,55.5744,0.35347,0.85444,0.77419,0.97406,1,0.995,0.995,0.2212,1.32718,0.81373,0.00024928,0.00024928,0.00024928
78,56.1671,0.31144,0.68613,0.81576,0.97382,1,0.995,0.995,0.22106,1.22841,0.81415,0.00023562,0.00023562,0.00023562
79,56.7313,0.33048,0.8266,0.82904,0.97382,1,0.995,0.995,0.22106,1.22841,0.81415,0.00022152,0.00022152,0.00022152
80,57.3393,0.27994,0.76283,0.83005,0.97382,1,0.995,0.995,0.22106,1.22841,0.81415,0.00020698,0.00020698,0.00020698
81,58.8731,0.31479,1.20077,0.82479,0.97391,1,0.995,0.995,0.23339,1.16792,0.81421,0.000192,0.000192,0.000192
82,59.6396,0.28483,1.10578,0.77204,0.97391,1,0.995,0.995,0.23339,1.16792,0.81421,0.00017658,0.00017658,0.00017658
83,60.3186,0.31073,1.06262,0.82858,0.97391,1,0.995,0.995,0.23339,1.16792,0.81421,0.00016072,0.00016072,0.00016072
84,61.0084,0.2985,1.15378,0.81946,0.97498,1,0.995,0.995,0.24329,1.13799,0.81466,0.00014442,0.00014442,0.00014442
85,61.585,0.28977,1.04953,0.77061,0.97498,1,0.995,0.995,0.24329,1.13799,0.81466,0.00012768,0.00012768,0.00012768
86,62.2887,0.26706,1.10063,0.85312,0.97498,1,0.995,0.995,0.24329,1.13799,0.81466,0.0001105,0.0001105,0.0001105
87,62.9379,0.29568,1.10006,0.75821,0.97498,1,0.995,0.995,0.24329,1.13799,0.81466,9.288e-05,9.288e-05,9.288e-05
88,63.5214,0.28157,1.02555,0.81201,0.97619,1,0.995,0.995,0.25369,1.07293,0.815,7.482e-05,7.482e-05,7.482e-05
89,64.3113,0.28921,1.10737,0.71313,0.97619,1,0.995,0.995,0.25369,1.07293,0.815,5.632e-05,5.632e-05,5.632e-05
90,65.2074,0.31822,1.14293,0.8326,0.97619,1,0.995,0.995,0.25369,1.07293,0.815,3.738e-05,3.738e-05,3.738e-05
